;ID;ENLACE;USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
4109;1197160562679005184;https://twitter.com/ec_memoria/status/1197160562679005184;ec_memoria;;2019-11-20 14:31:34+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 La Lonchera de Papá. Historia real de un padre y una hija adolescente. 22 de noviembre de 2019 Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4110;1197160302078562307;https://twitter.com/ec_memoria/status/1197160302078562307;ec_memoria;;2019-11-20 14:30:32+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 La Lonchera de Papá. Historia real de un padre y una hija adolescente. 22 de noviembre de 2019 Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4111;1197160060826333184;https://twitter.com/ec_memoria/status/1197160060826333184;ec_memoria;;2019-11-20 14:29:35+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Una Mujer Fantástica. Tras una noche de fiesta, un hombre muere y su pareja enfrenta sospechas. 21 de noviembre Alianza Francesa Loja 17h00 ¡No faltes! #FestivalLojaMásTuyoQueNunca.
4112;1197158977274032131;https://twitter.com/ec_memoria/status/1197158977274032131;ec_memoria;;2019-11-20 14:25:16+00:00;0;0;;#FIAVL2019 #FestivalLojaM;; I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 Hijos de la Gloria. La historia del equipo húngaro de waterpolo que muestra una revuelta en Budapest. 21 de noviembre Alianza Francesa Loja 10h00 ¡No te lo pierdas! #FestivalLojaMásTuyoQueNunca.
4113;1197158746973179904;https://twitter.com/ec_memoria/status/1197158746973179904;ec_memoria;;2019-11-20 14:24:22+00:00;0;0;@Cultura_Ec @utpl;#FestivalLojaM #FIAVL2019;;#FestivalLojaMásTuyoQueNunca es un espacio de encuentro y fomento de las expresiones culturales y artísticas. El Ministerio @Cultura_Ec, junto a @utpl y la Alianza Francesa de Loja, invitan a: I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 21 al 23 de noviembre .
4114;1197157774943309828;https://twitter.com/LecturaEC/status/1197157774943309828;LecturaEC;;2019-11-20 14:20:30+00:00;2;1;@Cultura_Ec @utpl;#FestivalLojaM #FIAVL2019;;El #FestivalLojaMásTuyoQueNunca es un espacio de encuentro y fomento de las expresiones culturales y artísticas. El Ministerio de @Cultura_Ec, junto a la @utpl y la Alianza Francesa de Loja, invitan a: I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 21 al 23 de noviembre .
4115;1197156656183988224;https://twitter.com/INPCEcuador/status/1197156656183988224;INPCEcuador;;2019-11-20 14:16:03+00:00;0;0;@Cultura_Ec @utpl;#FestivalLojaM #FIAVL2019;;El #FestivalLojaMásTuyoQueNunca es un espacio de encuentro y fomento de las expresiones culturales y artísticas. El Ministerio de @Cultura_Ec, junto a la @utpl y la Alianza Francesa de Loja, invitan a: I MUESTRA DE CINE INTERNACIONAL en el #FIAVL2019 21 al 23 de noviembre .
4116;1197156493751046145;https://twitter.com/Davidedu15Ponce/status/1197156493751046145;Davidedu15Ponce;;2019-11-20 14:15:24+00:00;0;0;;#5to #dia #artesvivas2019 #fiavl2019 #loja;;Una vueltica por las artes vivas en mi Lojita ... !!! #5to #dia #artesvivas2019 #fiavl2019 #loja festivaldeloja en Loja, Ecuador https://www.instagram.com/p/B5Fw3KugCzt/?igshid=13v18jmw4wm6a.
4117;1197154088628166657;https://twitter.com/Los4MundosDelSu/status/1197154088628166657;Los4MundosDelSu;;2019-11-20 14:05:51+00:00;1;2;;#FIAVL2019 #LojaEsTurismo #ViveLoja;;Compartimos tu agenda #FIAVL2019 para hoy miércoles 20 de noviembre. #LojaEsTurismo #ViveLoja.
4118;1197153768665681920;https://twitter.com/Patolinoe/status/1197153768665681920;Patolinoe;;2019-11-20 14:04:35+00:00;0;2;;#FIAVL2019 #LojaEsTurismo #ViveLoja;;Compartimos tu agenda #FIAVL2019 para hoy miércoles 20 de noviembre. #LojaEsTurismo #ViveLoja.
4119;1197153300900171776;https://twitter.com/DdiegopozoP/status/1197153300900171776;DdiegopozoP;;2019-11-20 14:02:43+00:00;12;17;@festivaloffloja @FestivalDeLoja @Cultura_Ec @joaordonezceli @fabriciovelav @RosarioCordovaV @GabyGuarderasP @germaniaquezada @juanfervelasco @johaortizv;#FIAVL2019 #Loja #ElFestivalM;;A propósito del #FIAVL2019, miren cómo alguien se robó el show en la calle Bolívar de #Loja @festivaloffloja @FestivalDeLoja #ElFestivalMásTuyoQueNunca @Cultura_Ec @joaordonezceli @fabriciovelav @RosarioCordovaV @GabyGuarderasP @germaniaquezada @juanfervelasco @johaortizv.
4120;1197152620948926464;https://twitter.com/Cultura_Ec/status/1197152620948926464;Cultura_Ec;;2019-11-20 14:00:01+00:00;6;3;;#FestivalLojaM #FIAVL2019;; | ¡El #FestivalLojaMásTuyoQueNunca es el mejor plan para toda la familia! Disfruta de Top Secret una obra clown sobre nuestros secretos más divertidos. Casona Teatrino 20 noviembre 16h30 #FIAVL2019 .
4121;1197147257117827072;https://twitter.com/UNLoficial/status/1197147257117827072;UNLoficial;;2019-11-20 13:38:42+00:00;9;13;;#FIAVL2019 #FestivalLojaMasTuyoQueNunca;;[ ] Juntos podemos construir una cuidad organizada, autónoma y solidaria: «Loja al 2030» ¡Te esperamos! 16h00 Plaza Simón Bolívar #FIAVL2019 #FestivalLojaMasTuyoQueNunca.
4122;1197144998363435010;https://twitter.com/Cultura_Ec/status/1197144998363435010;Cultura_Ec;;2019-11-20 13:29:44+00:00;2;0;;#FestivalLojaM #FIAVL2019;; NOTICIA | Incentivos a favor de artistas y gestores culturales se presentaron en Loja En su primera etapa, ‘Ecuador Creativo’ consta de cuatro medidas gubernamentales(..) Más información http://bit.ly/2XwjEXF #FestivalLojaMásTuyoQueNunca #FIAVL2019 .
4123;1197136006056689664;https://twitter.com/stalin_roberto/status/1197136006056689664;stalin_roberto;;2019-11-20 12:54:00+00:00;1;1;;#Loja #FIAVL2019 #ArtesVivas;;#Loja #FIAVL2019 #ArtesVivas.
4124;1197131469333893120;https://twitter.com/Patolinoe/status/1197131469333893120;Patolinoe;;2019-11-20 12:35:58+00:00;0;1;;#FestivalLojaM #FIAVL2019 #EcuadorEsTurismo #LojaEsTurismo;;"No te pierdas ""Top Secret"" un montaje que toca nuestros secretos más oscuros . Compra tus entradas aquí: https://bit.ly/2p6bCIk Casona Teatrino 19 y 20 noviembre 16h30 #FestivalLojaMásTuyoQueNunca #FIAVL2019 #EcuadorEsTurismo #LojaEsTurismo."
4125;1197131061500792832;https://twitter.com/Los4MundosDelSu/status/1197131061500792832;Los4MundosDelSu;;2019-11-20 12:34:21+00:00;0;3;;#FestivalLojaM #FIAVL2019 #EcuadorEsTurismo;;"No te pierdas ""Top Secret"" un montaje que toca nuestros secretos más oscuros . Compra tus entradas aquí: https://bit.ly/2p6bCIk Casona Teatrino 19 y 20 noviembre 16h30 #FestivalLojaMásTuyoQueNunca #FIAVL2019 #EcuadorEsTurismo."
4126;1197127730166468609;https://twitter.com/MaricelaTorrest/status/1197127730166468609;MaricelaTorrest;;2019-11-20 12:21:07+00:00;7;6;;#FIAVL2019 #VisitaLoja #ElArteViveEnLoja #MiMejorMomentoFIAV2019 #MasTuyoQueNunca;;Rostros en el #FIAVL2019 No pueden perdérselo. Quedan aún cinco días #VisitaLoja #ElArteViveEnLoja #MiMejorMomentoFIAV2019 #MasTuyoQueNunca.
4127;1197127389941293057;https://twitter.com/sinfonicaLoja/status/1197127389941293057;sinfonicaLoja;;2019-11-20 12:19:45+00:00;19;29;;#Arteparatodos #FIAVL2019;;ROCK SINFÓNICO Con la OSL y artistas invitados Director: Yuri Sobolev - Rusia Viernes 22 Parque Central de Catacocha 19:00 Sábado 23 Parque Central de Catamayo 19:00 Domingo 24 Parque Jipiro de Loja 16:00 #Arteparatodos #FIAVL2019 .
