ID;ENLACE PERMANENTE;NOMBRE USUARIO;@;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO;
1,22E+18;,https://twitter.com/LoretoIsa/status/1217456787932078081;,LoretoIsa;,None;,2020-01-15 14:41:32+00:00;0;0;,@Nodalcultura;,#FIAVL2019 #SmartLand;,;",""b'Presentaci\xc3\xb3n de los indicadores culturales del #FIAVL2019, producto de la evaluaci\xc3\xb3n realizada por los Observatorios Regional, Tur\xc3\xadstico, de Comunicaci\xc3\xb3n y Cultural de nuestra iniciativa #SmartLand. Informe FIAVL http://www.nodalcultura.am/2020/01/informe-fiavl/ v\xc3\xada @NodalCultura'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/Cultura_Ec/status/1217449503214665728;,Cultura_Ec;,None;,2020-01-15 14:12:35+00:00;0,5;0,4;,@Nodalcultura;,;,;,b'NOTICIA| El Ministerio de Cultura y Patrimonio junto al Observatorio Cultural Ciudadano de Loja presentaron este martes los resultados obtenidos en la evaluaci\xc3\xb3n cuantitativa del 4to Festival Internacional de Artes Vivas (FIAVL) 2019. V\xc3\xada @Nodalcultura https://bit.ly/2FVxsmw';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/CapturLojaofic1/status/1217254606918574080;,CapturLojaofic1;,None;,2020-01-15 01:18:08+00:00;0;0;,;,#FIAVL;,;,b'#FIAVL Baja presencia de Turistas https://radiomatovelleloja.com/baja-presencia-de-turistas-en-festival-de-artes-vivas-2019/';
;;;;;;;;;;;
1,22E+18;,https://twitter.com/Cultura_Ec/status/1217211054247350272;,Cultura_Ec;,None;,2020-01-14 22:25:04+00:00;0,59;0,64;,;,;,;",""b'[BOLET\xc3\x8dN] Observatorio Cultural Ciudadano de Loja entreg\xc3\xb3 resultados del 4to. FIAVL 2019 El levantamiento de la informaci\xc3\xb3n entregada est\xc3\xa1 relacionada en los \xc3\xa1mbitos de educaci\xc3\xb3n, cultura, participaci\xc3\xb3n social, empresas, econom\xc3\xada (...) Leer m\xc3\xa1s https://bit.ly/2NGIW1V'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/estebansar/status/1217201604375564289;,estebansar;,BailonOficial;,2020-01-14 21:47:31+00:00;0,1;0;,;,;,;",""b'Se\xc3\xb1or Alcalde, nos parece una excelente propuesta, en funci\xc3\xb3n de los intereses de la ciudadan\xc3\xada en general. La Veedur\xc3\xada Ciudadana que se encuentra vigilando el proceso del FIAVL 2019, en su momento tambi\xc3\xa9n har\xc3\xa1 sus aportes para tan importante evento.'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/BailonOficial/status/1217200695490859009;,BailonOficial;,None;,2020-01-14 21:43:54+00:00;0,5;0,12;,@Cultura_Ec;,#FIAVL #MunicipioDeLoja;,;",""b'En rueda de prensa con el ministro de Cultura, Juan Fernando Velasco, ratifiqu\xc3\xa9 que el #FIAVL debe ser uno solo para consolidar la denominaci\xc3\xb3n de Loja como ciudad cultural, musical y art\xc3\xadstica. Lo lograremos con la unidad entre el #MunicipioDeLoja y el Ministerio de @Cultura_Ec.'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/Cultura_Zonal7/status/1217137391863062533;,Cultura_Zonal7;,None;,2020-01-14 17:32:22+00:00;0;0;,@juanfervelasco @FelixAlvear54 @Cultura_Ec;,;,;",""b'""""Hemos consensuado con el Alcalde y el 5to. FIAVL 2020 se realizar\xc3\xa1 del Jueves 12 al domingo 22 noviembre"""" @juanfervelasco @FelixAlvear54 @Cultura_Ec'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/MunicipioDeLoja/status/1217136088155852802;,MunicipioDeLoja;,None;,2020-01-14 17:27:11+00:00;0,2;0,2;,@juanfervelasco;,#FIAVL #JuntosAlBicentenario;,;",""b'@juanfervelasco """"Nunca se hab\xc3\xada logrado dinamizar tanto la econom\xc3\xada de Loja como ha logrado el #FIAVL. Nos comprometemos de manera conjunta a unir los componentes IN y OFF. El objetivo es consolidar espacios para generar actividad art\xc3\xadstica-cultural"""". #JuntosAlBicentenario'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/Cultura_Zonal7/status/1217135210573324288;,Cultura_Zonal7;,None;,2020-01-14 17:23:42+00:00;0,1;0;,@juanfervelasco;,;,;",""b'""""En el 5to FIAVL tenemos el compromiso de incorporar de hacer este Festival inclusivo, especialmente para personas que viven con discapacidad"""" @juanfervelasco'""";
;;;;;;;;;;;
1,22E+18;,https://twitter.com/ObservacomU/status/1217109987841003528;,ObservacomU;,None;,2020-01-14 15:43:28+00:00;0,1;0,3;,@Cultura_Ec;,;,;,b'El Observatorio de Comunicaci\xc3\xb3n aporta con indicadores sobre el tratamiento de informaci\xc3\xb3n del FIAVL 2019 en los medios locales y nacionales al Ministerio de @Cultura_Ec https://twitter.com/utpl/status/1217106672054874113';
;;;;;;;;;;;
